unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,COL,Colombia,BCG,87.0,87.0,87.0,89.0,90.0,89.0,91.0,88.0,90.0,89.0,85.0,89.0,87.0,84.0,90.0,93.0,93.0,96.0,94.0,92.0,97.0,87.0,87.0,91.0
ESAR,COM,Comoros,BCG,85.0,85.0,85.0,86.0,87.0,84.0,85.0,84.0,80.0,81.0,80.0,79.0,78.0,76.0,80.0,81.0,77.0,84.0,80.0,79.0,79.0,90.0,90.0,90.0
WCAR,COG,Congo,BCG,67.0,67.0,81.0,72.0,80.0,81.0,76.0,80.0,85.0,95.0,92.0,92.0,95.0,95.0,90.0,93.0,86.0,84.0,73.0,85.0,60.0,51.0,53.0,50.0
EAPR,COK,Cook Islands,BCG,99.0,95.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0
LACR,CRI,Costa Rica,BCG,99.0,95.0,88.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,93.0,91.0,90.0,88.0,91.0,99.0,99.0,95.0,96.0,97.0,93.0,96.0,91.0,95.0
WCAR,CIV,Cote d'Ivoire,BCG,87.0,85.0,86.0,84.0,92.0,94.0,93.0,95.0,80.0,85.0,85.0,93.0,76.0,79.0,95.0,91.0,94.0,77.0,85.0,71.0,78.0,79.0,80.0,80.0
ECAR,HRV,Croatia,BCG,97.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,97.0,98.0
LACR,CUB,Cuba,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Non-programme,CZE,Czechia,BCG,,,,,,,,,,,,,,,98.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,98.0,98.0
EAPR,PRK,Democratic People's Republic of Korea,BCG,63.0,99.0,95.0,99.0,96.0,96.0,98.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,96.0,94.0,95.0,88.0,96.0,82.0,78.0
WCAR,COD,Democratic Republic of the Congo,BCG,77.0,77.0,67.0,83.0,84.0,86.0,85.0,83.0,79.0,80.0,85.0,83.0,65.0,83.0,83.0,79.0,76.0,72.0,72.0,68.0,61.0,50.0,43.0,57.0
MENA,DJI,Djibouti,BCG,65.0,61.0,61.0,77.0,95.0,93.0,92.0,90.0,92.0,99.0,86.0,87.0,89.0,90.0,90.0,90.0,90.0,88.0,80.0,71.0,63.0,52.0,38.0,34.0
LACR,DMA,Dominica,BCG,95.0,90.0,89.0,98.0,98.0,95.0,97.0,98.0,98.0,98.0,97.0,98.0,98.0,99.0,99.0,98.0,90.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0
LACR,DOM,Dominican Republic,BCG,99.0,99.0,99.0,85.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,92.0,92.0,95.0,96.0,97.0,95.0,97.0,98.0,90.0
LACR,ECU,Ecuador,BCG,76.0,76.0,75.0,81.0,86.0,90.0,88.0,84.0,88.0,89.0,90.0,94.0,98.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
MENA,EGY,Egypt,BCG,97.0,97.0,97.0,96.0,96.0,95.0,86.0,96.0,96.0,96.0,98.0,95.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0
LACR,SLV,El Salvador,BCG,95.0,94.0,96.0,97.0,93.0,89.0,89.0,91.0,99.0,87.0,90.0,90.0,95.0,96.0,99.0,99.0,99.0,93.0,84.0,94.0,91.0,92.0,92.0,99.0
WCAR,GNQ,Equatorial Guinea,BCG,88.0,88.0,88.0,87.0,87.0,86.0,86.0,85.0,77.0,85.0,82.0,78.0,75.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0
ESAR,ERI,Eritrea,BCG,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,95.0,99.0,99.0,99.0,99.0,97.0,94.0,91.0,89.0
Non-programme,EST,Estonia,BCG,90.0,90.0,90.0,91.0,92.0,92.0,94.0,95.0,95.0,95.0,96.0,97.0,99.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
ESAR,SWZ,Eswatini,BCG,93.0,94.0,96.0,97.0,98.0,98.0,98.0,97.0,98.0,99.0,99.0,99.0,98.0,98.0,97.0,96.0,95.0,94.0,93.0,92.0,91.0,90.0,89.0,88.0
ESAR,ETH,Ethiopia,BCG,74.0,68.0,68.0,70.0,69.0,71.0,73.0,72.0,70.0,69.0,68.0,74.0,80.0,76.0,74.0,71.0,69.0,66.0,64.0,60.0,59.0,58.0,57.0,56.0
EAPR,FJI,Fiji,BCG,99.0,99.0,99.0,99.0,97.0,96.0,94.0,93.0,91.0,90.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0,97.0,96.0
Non-programme,FIN,Finland,BCG,,,,,,,,,,,,,,,,,,98.0,98.0,98.0,98.0,99.0,99.0,99.0
Non-programme,FRA,France,BCG,,,,,,,,,,,,,,,,,78.0,83.0,81.0,85.0,84.0,85.0,84.0,83.0
WCAR,GAB,Gabon,BCG,84.0,79.0,83.0,82.0,89.0,85.0,90.0,92.0,97.0,90.0,91.0,96.0,94.0,94.0,93.0,93.0,92.0,92.0,92.0,91.0,91.0,90.0,90.0,89.0
