unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,MCV2,42,42.0,37.0,38.0,37.0,46.0,38.0,40.0,42.0,44.0,38.0,33.0,31.0,29.0,24.0,23.0,4.0,18.0,9.0,2.0,,,,
ECAR,ALB,Albania,MCV2,93,93.0,92.0,94.0,96.0,96.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,95.0,94.0,97.0,96.0,93.0,93.0,90.0,
MENA,DZA,Algeria,MCV2,93,71.0,73.0,74.0,76.0,77.0,92.0,96.0,99.0,99.0,93.0,95.0,96.0,95.0,98.0,96.0,95.0,98.0,94.0,94.0,96.0,93.0,73.0,78.0
Non-programme,AND,Andorra,MCV2,96,96.0,97.0,93.0,94.0,95.0,94.0,90.0,88.0,90.0,91.0,89.0,82.0,86.0,82.0,86.0,80.0,,,,,,,
ESAR,AGO,Angola,MCV2,35,25.0,22.0,29.0,33.0,23.0,18.0,16.0,16.0,,,,,,,,,,,,,,,
LACR,ATG,Antigua and Barbuda,MCV2,87,91.0,76.0,80.0,80.0,95.0,95.0,68.0,84.0,99.0,87.0,90.0,89.0,92.0,94.0,83.0,78.0,68.0,46.0,,,,,
LACR,ARG,Argentina,MCV2,54,94.0,79.0,71.0,84.0,99.0,89.0,88.0,87.0,96.0,83.0,89.0,91.0,94.0,96.0,88.0,84.0,91.0,88.0,93.0,80.0,83.0,56.0,56.0
ECAR,ARM,Armenia,MCV2,96,94.0,94.0,94.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,97.0,96.0,94.0,93.0,85.0,92.0,94.0,93.0,95.0,96.0,94.0
Non-programme,AUS,Australia,MCV2,93,91.0,94.0,94.0,94.0,93.0,93.0,94.0,93.0,93.0,92.0,91.0,90.0,88.0,82.0,80.0,89.0,87.0,85.0,85.0,,,,
Non-programme,AUT,Austria,MCV2,94,94.0,97.0,88.0,86.0,84.0,84.0,89.0,88.0,87.0,82.0,78.0,73.0,69.0,64.0,62.0,56.0,61.0,54.0,47.0,46.0,39.0,34.0,35.0
