unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,DTP1,67,67,64,70,69,77,73,73,73,73,76,78,78,72.0,72.0,75.0,76.0,75.0,76.0,72.0,66.0,62.0,59.0,48.0
ECAR,ALB,Albania,DTP1,98,98,98,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,98.0,98.0,99.0,98.0,97.0,98.0,97.0,98.0
MENA,DZA,Algeria,DTP1,98,91,92,94,95,96,95,96,99,99,99,99,99,99.0,98.0,97.0,98.0,98.0,94.0,93.0,93.0,93.0,92.0,95.0
Non-programme,AND,Andorra,DTP1,99,99,99,99,99,99,99,99,99,99,96,99,99,99.0,99.0,99.0,96.0,96.0,99.0,99.0,99.0,99.0,96.0,99.0
ESAR,AGO,Angola,DTP1,69,53,57,61,67,74,68,74,72,69,67,66,68,68.0,68.0,69.0,69.0,66.0,62.0,75.0,68.0,65.0,57.0,44.0
LACR,ATG,Antigua and Barbuda,DTP1,99,99,93,98,98,99,96,97,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0
LACR,ARG,Argentina,DTP1,77,90,88,79,87,91,91,93,94,98,94,94,94,95.0,94.0,97.0,94.0,93.0,99.0,99.0,96.0,96.0,96.0,96.0
ECAR,ARM,Armenia,DTP1,96,96,96,96,96,96,97,97,97,97,97,98,98,98.0,97.0,96.0,96.0,95.0,96.0,97.0,98.0,98.0,98.0,97.0
Non-programme,AUS,Australia,DTP1,98,98,98,98,98,98,98,98,97,92,92,92,92,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0
Non-programme,AUT,Austria,DTP1,91,91,96,95,93,90,94,95,97,99,98,97,96,95.0,94.0,94.0,95.0,86.0,99.0,99.0,90.0,99.0,99.0,99.0
ECAR,AZE,Azerbaijan,DTP1,92,90,92,85,96,96,97,98,97,96,95,94,94,94.0,90.0,90.0,87.0,86.0,81.0,84.0,83.0,82.0,83.0,83.0
LACR,BHS,Bahamas,DTP1,99,98,91,97,91,94,98,95,99,96,99,99,99,99.0,99.0,99.0,98.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0
MENA,BHR,Bahrain,DTP1,99,97,99,99,99,99,98,99,98,99,99,99,99,99.0,98.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0
ROSA,BGD,Bangladesh,DTP1,99,99,99,99,99,99,99,99,99,99,98,97,99,98.0,99.0,99.0,98.0,97.0,97.0,99.0,93.0,95.0,94.0,92.0
LACR,BRB,Barbados,DTP1,91,87,83,86,92,96,90,99,99,98,97,96,95,94.0,93.0,85.0,93.0,94.0,97.0,97.0,91.0,92.0,92.0,93.0
ECAR,BLR,Belarus,DTP1,98,98,98,97,98,98,97,99,99,97,99,98,99,99.0,98.0,98.0,99.0,99.0,99.0,99.0,74.0,99.0,99.0,99.0
Non-programme,BEL,Belgium,DTP1,98,98,98,98,98,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,97.0,97.0,97.0
LACR,BLZ,Belize,DTP1,85,91,83,79,99,97,89,98,97,96,96,99,98,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,96.0
WCAR,BEN,Benin,DTP1,79,79,80,80,81,82,83,84,82,86,86,89,85,87.0,89.0,91.0,94.0,89.0,84.0,85.0,86.0,87.0,88.0,89.0
ROSA,BTN,Bhutan,DTP1,99,98,99,96,99,98,99,99,99,99,97,97,98,94.0,97.0,97.0,98.0,97.0,97.0,92.0,96.0,95.0,96.0,96.0
LACR,BOL,Bolivia (Plurinational State of),DTP1,72,75,75,79,81,89,91,93,97,92,87,97,98,97.0,97.0,96.0,85.0,87.0,93.0,88.0,96.0,94.0,91.0,92.0
ECAR,BIH,Bosnia and Herzegovina,DTP1,85,85,85,84,87,89,92,90,89,92,94,95,94,95.0,95.0,95.0,96.0,94.0,95.0,93.0,93.0,86.0,94.0,90.0
ESAR,BWA,Botswana,DTP1,98,98,98,98,98,98,98,98,98,98,98,98,98,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
LACR,BRA,Brazil,DTP1,96,84,74,88,79,87,92,95,97,98,98,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
EAPR,BRN,Brunei Darussalam,DTP1,99,99,99,99,99,99,99,99,99,99,99,98,99,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
ECAR,BGR,Bulgaria,DTP1,95,94,92,94,96,94,96,94,93,90,96,96,96,96.0,96.0,97.0,96.0,97.0,97.0,95.0,96.0,97.0,95.0,95.0
WCAR,BFA,Burkina Faso,DTP1,99,97,95,95,95,95,95,95,95,95,94,94,93,93.0,93.0,97.0,92.0,91.0,91.0,90.0,90.0,89.0,93.0,97.0
ESAR,BDI,Burundi,DTP1,89,93,96,98,97,94,94,97,97,98,98,98,99,99.0,99.0,98.0,99.0,99.0,96.0,95.0,93.0,91.0,90.0,88.0
WCAR,CPV,Cabo Verde,DTP1,93,93,93,93,96,99,97,96,97,99,93,98,99,99.0,99.0,99.0,99.0,98.0,97.0,96.0,95.0,95.0,94.0,94.0
EAPR,KHM,Cambodia,DTP1,93,92,92,92,93,93,93,94,94,94,94,97,95,93.0,99.0,95.0,87.0,85.0,85.0,92.0,74.0,60.0,65.0,78.0
WCAR,CMR,Cameroon,DTP1,81,76,76,74,72,74,80,84,81,81,81,85,88,92.0,88.0,93.0,90.0,87.0,85.0,80.0,79.0,75.0,70.0,66.0
Non-programme,CAN,Canada,DTP1,94,94,94,94,94,94,94,95,95,95,95,96,96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0
WCAR,CAF,Central African Republic,DTP1,54,54,54,54,54,54,54,54,57,60,35,66,69,67.0,65.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,65.0,60.0
WCAR,TCD,Chad,DTP1,84,82,79,74,69,63,55,55,59,63,58,57,55,55.0,45.0,47.0,50.0,58.0,46.0,35.0,45.0,45.0,44.0,45.0
LACR,CHL,Chile,DTP1,99,99,99,98,99,99,98,99,97,99,92,90,94,93.0,94.0,96.0,98.0,95.0,92.0,94.0,98.0,98.0,99.0,98.0
EAPR,CHN,China,DTP1,98,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,95.0,95.0,95.0,95.0,95.0,94.0
LACR,COL,Colombia,DTP1,90,91,90,92,95,92,94,93,93,91,97,91,95,96.0,97.0,97.0,97.0,98.0,97.0,90.0,94.0,93.0,82.0,91.0
ESAR,COM,Comoros,DTP1,80,85,80,78,81,80,84,83,81,83,85,91,92,81.0,89.0,85.0,79.0,78.0,77.0,85.0,82.0,96.0,85.0,85.0
WCAR,COG,Congo,DTP1,82,82,81,77,82,79,75,76,85,95,90,90,90,90.0,92.0,93.0,80.0,81.0,73.0,67.0,62.0,50.0,44.0,45.0
EAPR,COK,Cook Islands,DTP1,95,91,94,97,99,99,99,99,99,99,98,98,98,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,97.0,99.0
LACR,CRI,Costa Rica,DTP1,99,98,97,99,96,95,99,99,93,91,98,92,87,96.0,91.0,90.0,90.0,89.0,97.0,96.0,90.0,98.0,91.0,90.0
WCAR,CIV,Cote d'Ivoire,DTP1,83,78,78,77,87,93,93,98,96,92,83,93,74,87.0,95.0,89.0,93.0,95.0,83.0,73.0,71.0,76.0,81.0,85.0
ECAR,HRV,Croatia,DTP1,98,98,98,98,98,98,98,98,98,98,98,98,97,97.0,97.0,97.0,96.0,96.0,96.0,96.0,98.0,99.0,94.0,95.0
LACR,CUB,Cuba,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,96.0,98.0,96.0,97.0,98.0,99.0,89.0,90.0,99.0,99.0,98.0
Non-programme,CYP,Cyprus,DTP1,98,98,98,98,98,99,98,98,98,98,98,98,98,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Non-programme,CZE,Czechia,DTP1,96,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
EAPR,PRK,Democratic People's Republic of Korea,DTP1,41,41,42,98,98,99,98,97,97,94,94,97,95,94.0,94.0,93.0,93.0,91.0,83.0,75.0,70.0,65.0,63.0,61.0
WCAR,COD,Democratic Republic of the Congo,DTP1,80,81,81,83,84,82,82,81,81,81,78,78,78,68.0,78.0,76.0,73.0,71.0,68.0,66.0,53.0,47.0,49.0,49.0
Non-programme,DNK,Denmark,DTP1,98,98,98,97,97,97,99,97,96,96,97,97,94,93.0,90.0,89.0,87.0,93.0,93.0,95.0,98.0,99.0,97.0,98.0
MENA,DJI,Djibouti,DTP1,77,70,70,76,90,91,83,74,90,93,87,85,89,90.0,90.0,90.0,92.0,76.0,73.0,81.0,76.0,72.0,65.0,66.0
LACR,DMA,Dominica,DTP1,99,96,95,99,99,99,98,99,99,99,98,98,99,99.0,99.0,96.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0
LACR,DOM,Dominican Republic,DTP1,99,99,99,86,96,98,99,98,99,95,91,92,91,96.0,85.0,86.0,87.0,93.0,92.0,87.0,88.0,92.0,95.0,91.0
LACR,ECU,Ecuador,DTP1,74,74,78,74,85,86,95,94,80,84,87,88,89,91.0,98.0,98.0,98.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0
MENA,EGY,Egypt,DTP1,98,97,97,95,96,96,95,96,94,96,97,94,97,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0
LACR,SLV,El Salvador,DTP1,96,96,97,98,96,91,97,99,97,98,97,97,90,90.0,97.0,99.0,99.0,98.0,96.0,96.0,98.0,93.0,97.0,99.0
WCAR,GNQ,Equatorial Guinea,DTP1,80,76,76,76,77,77,77,77,64,77,73,68,64,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0
ESAR,ERI,Eritrea,DTP1,97,97,97,97,97,97,97,97,98,97,97,97,97,97.0,97.0,97.0,98.0,98.0,99.0,99.0,97.0,94.0,91.0,88.0
Non-programme,EST,Estonia,DTP1,91,91,91,92,92,93,94,94,94,95,96,96,96,96.0,97.0,97.0,98.0,98.0,99.0,98.0,99.0,99.0,99.0,96.0
ESAR,SWZ,Eswatini,DTP1,89,99,86,87,96,96,96,96,96,99,99,97,98,95.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0
ESAR,ETH,Ethiopia,DTP1,77,70,70,76,76,77,76,75,74,73,67,74,80,77.0,74.0,71.0,67.0,64.0,61.0,58.0,55.0,52.0,50.0,47.0
EAPR,FJI,Fiji,DTP1,99,99,99,99,97,95,92,98,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0
Non-programme,FIN,Finland,DTP1,97,97,98,98,98,99,98,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0
Non-programme,FRA,France,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
WCAR,GAB,Gabon,DTP1,73,65,76,69,77,78,81,83,87,77,80,86,82,82.0,81.0,85.0,86.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
WCAR,GMB,Gambia,DTP1,84,85,82,88,93,94,93,99,99,98,99,99,99,99.0,98.0,96.0,98.0,98.0,95.0,96.0,97.0,96.0,97.0,97.0
ECAR,GEO,Georgia,DTP1,96,95,97,95,99,99,98,97,97,99,99,94,98,99.0,99.0,99.0,99.0,99.0,91.0,88.0,95.0,96.0,97.0,89.0
Non-programme,DEU,Germany,DTP1,98,98,98,98,98,98,98,98,98,98,98,99,99,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0,97.0,96.0
WCAR,GHA,Ghana,DTP1,99,99,99,94,97,97,99,94,97,99,94,92,94,96.0,96.0,96.0,96.0,87.0,88.0,88.0,87.0,84.0,81.0,96.0
ECAR,GRC,Greece,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,96.0
LACR,GRD,Grenada,DTP1,92,79,84,79,98,96,98,98,94,97,99,99,98,99.0,99.0,99.0,98.0,97.0,99.0,87.0,99.0,99.0,98.0,99.0
LACR,GTM,Guatemala,DTP1,94,94,91,99,96,94,98,99,99,91,98,98,94,96.0,95.0,99.0,88.0,95.0,97.0,98.0,96.0,93.0,93.0,94.0
WCAR,GIN,Guinea,DTP1,62,62,62,62,62,62,62,62,64,58,64,70,76,86.0,76.0,64.0,76.0,75.0,75.0,75.0,71.0,68.0,64.0,61.0
WCAR,GNB,Guinea-Bissau,DTP1,80,81,81,87,86,92,91,90,91,92,93,94,92,93.0,94.0,91.0,89.0,86.0,83.0,81.0,79.0,77.0,75.0,73.0
LACR,GUY,Guyana,DTP1,98,98,98,99,99,99,97,97,96,99,98,99,97,99.0,99.0,94.0,96.0,95.0,93.0,97.0,93.0,96.0,98.0,97.0
LACR,HTI,Haiti,DTP1,75,75,75,75,75,84,84,84,84,79,82,85,88,87.0,86.0,86.0,85.0,84.0,83.0,81.0,79.0,77.0,75.0,73.0
LACR,HND,Honduras,DTP1,74,80,82,85,89,93,92,98,99,99,99,98,99,99.0,99.0,97.0,94.0,96.0,99.0,98.0,97.0,98.0,98.0,98.0
Non-programme,HUN,Hungary,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Non-programme,ISL,Iceland,DTP1,95,95,97,96,95,97,97,96,96,96,97,97,99,98.0,99.0,99.0,97.0,97.0,95.0,99.0,97.0,96.0,95.0,99.0
ROSA,IND,India,DTP1,93,95,88,87,94,93,92,91,90,90,90,89,89,86.0,84.0,81.0,81.0,81.0,82.0,77.0,76.0,75.0,75.0,74.0
EAPR,IDN,Indonesia,DTP1,85,92,74,83,90,90,90,90,90,93,97,90,88,89.0,88.0,88.0,85.0,86.0,85.0,84.0,84.0,83.0,82.0,84.0
MENA,IRN,Iran (Islamic Republic of),DTP1,99,99,98,99,99,99,99,99,99,99,98,99,99,99.0,99.0,99.0,99.0,98.0,97.0,99.0,99.0,99.0,96.0,99.0
MENA,IRQ,Iraq,DTP1,97,99,89,90,93,95,89,71,80,84,85,90,92,86.0,88.0,81.0,68.0,76.0,84.0,86.0,87.0,89.0,90.0,92.0
Non-programme,IRL,Ireland,DTP1,96,97,98,98,98,98,98,98,98,98,98,98,98,98.0,98.0,97.0,97.0,97.0,96.0,96.0,95.0,94.0,94.0,95.0
Non-programme,ISR,Israel,DTP1,99,99,99,99,99,99,99,94,95,95,96,94,94,95.0,96.0,94.0,95.0,95.0,93.0,95.0,95.0,95.0,95.0,95.0
Non-programme,ITA,Italy,DTP1,98,98,94,94,98,95,95,95,95,96,96,99,96,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0
LACR,JAM,Jamaica,DTP1,98,99,93,97,97,99,95,99,97,97,97,98,94,98.0,91.0,97.0,97.0,96.0,99.0,99.0,98.0,99.0,99.0,97.0
Non-programme,JPN,Japan,DTP1,99,99,99,98,99,99,99,99,98,98,98,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,88.0
MENA,JOR,Jordan,DTP1,97,92,85,78,90,98,99,99,99,98,99,98,98,98.0,98.0,98.0,99.0,99.0,98.0,96.0,98.0,96.0,99.0,91.0
ECAR,KAZ,Kazakhstan,DTP1,99,99,98,94,99,99,99,93,99,96,99,99,99,99.0,98.0,99.0,97.0,99.0,99.0,85.0,99.0,96.0,96.0,98.0
ESAR,KEN,Kenya,DTP1,97,99,99,97,96,93,82,89,96,97,95,98,98,93.0,92.0,90.0,89.0,90.0,85.0,87.0,89.0,90.0,84.0,83.0
EAPR,KIR,Kiribati,DTP1,99,96,98,99,97,96,94,82,81,83,95,94,99,97.0,90.0,97.0,99.0,98.0,93.0,75.0,78.0,82.0,85.0,95.0
MENA,KWT,Kuwait,DTP1,99,99,99,99,99,99,99,99,99,97,99,99,99,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0
ECAR,KGZ,Kyrgyzstan,DTP1,91,90,89,90,99,98,94,97,99,96,98,96,97,99.0,98.0,99.0,98.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0
EAPR,LAO,Lao People's Democratic Republic,DTP1,90,87,85,87,86,91,91,88,88,88,84,84,82,81.0,76.0,73.0,59.0,68.0,68.0,66.0,72.0,64.0,59.0,83.0
Non-programme,LVA,Latvia,DTP1,98,99,96,99,99,97,98,99,97,93,96,92,95,99.0,98.0,94.0,98.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0
MENA,LBN,Lebanon,DTP1,78,88,88,87,93,93,94,95,95,96,95,92,91,87.0,86.0,95.0,83.0,84.0,83.0,83.0,83.0,85.0,88.0,90.0
ESAR,LSO,Lesotho,DTP1,92,92,92,92,92,92,92,92,89,94,98,98,97,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,89.0,83.0,87.0
WCAR,LBR,Liberia,DTP1,99,93,81,82,86,91,89,83,77,74,91,91,86,80.0,90.0,85.0,80.0,75.0,75.0,65.0,69.0,73.0,76.0,80.0
MENA,LBY,Libya,DTP1,74,74,74,74,74,74,99,98,98,96,98,99,99,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,97.0,96.0,97.0
Non-programme,LTU,Lithuania,DTP1,93,93,93,95,96,95,97,97,97,97,97,97,95,98.0,98.0,96.0,99.0,98.0,98.0,94.0,98.0,98.0,98.0,99.0
