unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,GTM,Guatemala,ROTAC,86.0,82.0,64.0,93.0,90.0,87.0,88.0,84.0,75.0,73.0,81.0,81.0,71.0,38.0,,,,,,,,,,
WCAR,GNB,Guinea-Bissau,ROTAC,76.0,76.0,72.0,79.0,81.0,85.0,82.0,61.0,,,,,,,,,,,,,,,,
LACR,GUY,Guyana,ROTAC,99.0,99.0,93.0,97.0,99.0,91.0,97.0,96.0,96.0,95.0,94.0,91.0,77.0,39.0,,,,,,,,,,
LACR,HTI,Haiti,ROTAC,48.0,48.0,48.0,48.0,48.0,58.0,58.0,58.0,58.0,23.0,,,,,,,,,,,,,,
LACR,HND,Honduras,ROTAC,73.0,80.0,80.0,83.0,89.0,92.0,91.0,96.0,99.0,99.0,98.0,98.0,97.0,97.0,81.0,,,,,,,,,
ROSA,IND,India,ROTAC,90.0,92.0,83.0,82.0,53.0,35.0,13.0,4.0,,,,,,,,,,,,,,,,
EAPR,IDN,Indonesia,ROTAC,11.0,,,,,,,,,,,,,,,,,,,,,,,
MENA,IRQ,Iraq,ROTAC,46.0,38.0,41.0,42.0,5.0,60.0,63.0,52.0,43.0,30.0,52.0,31.0,,,,,,,,,,,,
Non-programme,IRL,Ireland,ROTAC,87.0,88.0,91.0,89.0,89.0,89.0,89.0,,,,,,,,,,,,,,,,,
Non-programme,ISR,Israel,ROTAC,80.0,80.0,80.0,79.0,80.0,81.0,81.0,81.0,80.0,81.0,80.0,82.0,,,,,,,,,,,,
Non-programme,ITA,Italy,ROTAC,71.0,74.0,70.0,63.0,61.0,19.0,14.0,,,,,,,,,,,,,,,,,
Non-programme,JPN,Japan,ROTAC,95.0,37.0,,,,,,,,,,,,,,,,,,,,,,
MENA,JOR,Jordan,ROTAC,96.0,92.0,84.0,75.0,86.0,93.0,96.0,97.0,88.0,,,,,,,,,,,,,,,
ESAR,KEN,Kenya,ROTAC,71.0,23.0,95.0,92.0,92.0,92.0,66.0,67.0,53.0,19.0,,,,,,,,,,,,,,
EAPR,KIR,Kiribati,ROTAC,92.0,94.0,95.0,89.0,99.0,97.0,91.0,79.0,37.0,,,,,,,,,,,,,,,
MENA,KWT,Kuwait,ROTAC,88.0,86.0,75.0,73.0,71.0,69.0,3.0,,,,,,,,,,,,,,,,,
ECAR,KGZ,Kyrgyzstan,ROTAC,87.0,86.0,90.0,52.0,,,,,,,,,,,,,,,,,,,,
Non-programme,LVA,Latvia,ROTAC,86.0,86.0,84.0,86.0,85.0,79.0,78.0,43.0,,,,,,,,,,,,,,,,
MENA,LBN,Lebanon,ROTAC,40.0,,,,,,,,,,,,,,,,,,,,,,,
ESAR,LSO,Lesotho,ROTAC,83.0,87.0,74.0,87.0,87.0,70.0,,,,,,,,,,,,,,,,,,
WCAR,LBR,Liberia,ROTAC,82.0,77.0,68.0,65.0,64.0,77.0,71.0,48.0,,,,,,,,,,,,,,,,
MENA,LBY,Libya,ROTAC,73.0,73.0,73.0,73.0,73.0,73.0,96.0,97.0,93.0,86.0,,,,,,,,,,,,,,
Non-programme,LTU,Lithuania,ROTAC,74.0,49.0,48.0,48.0,45.0,1.0,,,,,,,,,,,,,,,,,,
Non-programme,LUX,Luxembourg,ROTAC,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,88.0,87.0,86.0,,,,,,,,,
ESAR,MDG,Madagascar,ROTAC,62.0,53.0,53.0,65.0,67.0,70.0,60.0,63.0,54.0,50.0,,,,,,,,,,,,,,
ESAR,MWI,Malawi,ROTAC,91.0,85.0,92.0,91.0,92.0,90.0,85.0,81.0,84.0,83.0,81.0,7.0,,,,,,,,,,,,
WCAR,MLI,Mali,ROTAC,63.0,70.0,70.0,68.0,63.0,63.0,63.0,62.0,35.0,23.0,,,,,,,,,,,,,,
EAPR,MHL,Marshall Islands,ROTAC,44.0,49.0,53.0,57.0,60.0,42.0,46.0,38.0,41.0,44.0,52.0,60.0,43.0,25.0,71.0,,,,,,,,,
WCAR,MRT,Mauritania,ROTAC,91.0,85.0,66.0,84.0,75.0,74.0,74.0,74.0,56.0,5.0,,,,,,,,,,,,,,
Non-programme,MUS,Mauritius,ROTAC,65.0,89.0,86.0,92.0,96.0,95.0,90.0,92.0,66.0,,,,,,,,,,,,,,,
LACR,MEX,Mexico,ROTAC,80.0,84.0,77.0,69.0,71.0,77.0,70.0,72.0,81.0,85.0,81.0,99.0,98.0,90.0,93.0,47.0,,,,,,,,
EAPR,FSM,Micronesia (Federated States of),ROTAC,35.0,40.0,42.0,40.0,36.0,52.0,35.0,35.0,46.0,40.0,33.0,45.0,40.0,70.0,,,,,,,,,,
MENA,MAR,Morocco,ROTAC,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,90.0,90.0,90.0,88.0,80.0,2.0,,,,,,,,,,
ESAR,MOZ,Mozambique,ROTAC,60.0,57.0,58.0,59.0,50.0,83.0,79.0,65.0,17.0,,,,,,,,,,,,,,,
EAPR,MMR,Myanmar,ROTAC,69.0,58.0,33.0,49.0,,,,,,,,,,,,,,,,,,,,
ESAR,NAM,Namibia,ROTAC,87.0,55.0,42.0,77.0,90.0,92.0,86.0,86.0,87.0,,,,,,,,,,,,,,,
EAPR,NRU,Nauru,ROTAC,97.0,97.0,60.0,,,,,,,,,,,,,,,,,,,,,
ROSA,NPL,Nepal,ROTAC,92.0,85.0,76.0,,,,,,,,,,,,,,,,,,,,,
Non-programme,NZL,New Zealand,ROTAC,83.0,87.0,90.0,88.0,86.0,86.0,89.0,66.0,,,,,,,,,,,,,,,,
LACR,NIC,Nicaragua,ROTAC,90.0,92.0,87.0,92.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,94.0,89.0,66.0,,,,,,,
WCAR,NER,Niger,ROTAC,88.0,86.0,85.0,83.0,81.0,79.0,85.0,80.0,47.0,19.0,,,,,,,,,,,,,,
WCAR,NGA,Nigeria,ROTAC,49.0,12.0,,,,,,,,,,,,,,,,,,,,,,
EAPR,NIU,Niue,ROTAC,99.0,99.0,99.0,99.0,99.0,99.0,99.0,74.0,,,,,,,,,,,,,,,,
ECAR,MKD,North Macedonia,ROTAC,68.0,67.0,65.0,61.0,,,,,,,,,,,,,,,,,,,,
Non-programme,NOR,Norway,ROTAC,95.0,95.0,96.0,95.0,95.0,93.0,,,,,,,,,,,,,,,,,,
ROSA,PAK,Pakistan,ROTAC,90.0,88.0,87.0,84.0,86.0,58.0,12.0,,,,,,,,,,,,,,,,,
EAPR,PLW,Palau,ROTAC,31.0,83.0,82.0,82.0,92.0,93.0,95.0,98.0,97.0,99.0,99.0,89.0,89.0,76.0,15.0,,,,,,,,,
LACR,PAN,Panama,ROTAC,84.0,86.0,84.0,86.0,94.0,95.0,94.0,92.0,87.0,87.0,87.0,92.0,95.0,89.0,78.0,74.0,66.0,82.0,,,,,,
LACR,PRY,Paraguay,ROTAC,76.0,78.0,68.0,80.0,86.0,91.0,93.0,91.0,91.0,90.0,86.0,87.0,85.0,56.0,,,,,,,,,,
LACR,PER,Peru,ROTAC,87.0,84.0,82.0,76.0,90.0,90.0,89.0,89.0,87.0,86.0,86.0,91.0,84.0,75.0,41.0,3.0,,,,,,,,
EAPR,PHL,Philippines,ROTAC,,,,,,,,,2.0,1.0,28.0,5.0,,,,,,,,,,,,
Non-programme,POL,Poland,ROTAC,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,
MENA,QAT,Qatar,ROTAC,96.0,95.0,98.0,86.0,98.0,95.0,93.0,99.0,92.0,90.0,97.0,90.0,93.0,55.0,59.0,,,,,,,,,
ECAR,MDA,Republic of Moldova,ROTAC,69.0,61.0,60.0,56.0,66.0,67.0,66.0,70.0,62.0,62.0,65.0,21.0,,,,,,,,,,,,
ESAR,RWA,Rwanda,ROTAC,94.0,98.0,89.0,91.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,50.0,,,,,,,,,,,,
EAPR,WSM,Samoa,ROTAC,85.0,69.0,30.0,,,,,,,,,,,,,,,,,,,,,
WCAR,STP,Sao Tome and Principe,ROTAC,51.0,81.0,78.0,87.0,95.0,95.0,95.0,24.0,,,,,,,,,,,,,,,,
MENA,SAU,Saudi Arabia,ROTAC,97.0,97.0,97.0,96.0,95.0,97.0,97.0,95.0,95.0,94.0,84.0,,,,,,,,,,,,,
WCAR,SEN,Senegal,ROTAC,83.0,70.0,88.0,92.0,94.0,94.0,94.0,93.0,83.0,,,,,,,,,,,,,,,
Non-programme,SYC,Seychelles,ROTAC,98.0,99.0,98.0,98.0,99.0,99.0,8.0,,,,,,,,,,,,,,,,,
WCAR,SLE,Sierra Leone,ROTAC,88.0,88.0,75.0,90.0,92.0,92.0,92.0,95.0,85.0,53.0,,,,,,,,,,,,,,
EAPR,SLB,Solomon Islands,ROTAC,81.0,80.0,75.0,41.0,,,,,,,,,,,,,,,,,,,,
ESAR,ZAF,South Africa,ROTAC,78.0,83.0,85.0,83.0,83.0,80.0,81.0,83.0,85.0,85.0,77.0,74.0,67.0,60.0,17.0,,,,,,,,,
Non-programme,ESP,Spain,ROTAC,66.0,,,,,,,,,,,,,,,,,,,,,,,
MENA,PSE,State of Palestine,ROTAC,83.0,93.0,87.0,99.0,99.0,99.0,99.0,,,,,,,,,,,,,,,,,
MENA,SDN,Sudan,ROTAC,39.0,62.0,84.0,92.0,94.0,94.0,95.0,90.0,84.0,86.0,80.0,75.0,27.0,,,,,,,,,,,
Non-programme,SWE,Sweden,ROTAC,84.0,82.0,84.0,83.0,,,,,,,,,,,,,,,,,,,,
ECAR,TJK,Tajikistan,ROTAC,97.0,98.0,97.0,95.0,97.0,96.0,97.0,96.0,85.0,,,,,,,,,,,,,,,
EAPR,THA,Thailand,ROTAC,75.0,75.0,79.0,,,,,,,,,,,,,,,,,,,,,
EAPR,TLS,Timor-Leste,ROTAC,76.0,76.0,76.0,,,,,,,,,,,,,,,,,,,,,
WCAR,TGO,Togo,ROTAC,83.0,79.0,80.0,78.0,80.0,79.0,80.0,80.0,78.0,28.0,,,,,,,,,,,,,,
EAPR,TON,Tonga,ROTAC,99.0,,,,,,,,,,,,,,,,,,,,,,,
ECAR,TKM,Turkmenistan,ROTAC,98.0,98.0,97.0,95.0,4.0,,,,,,,,,,,,,,,,,,,
EAPR,TUV,Tuvalu,ROTAC,94.0,89.0,59.0,,,,,,,,,,,,,,,,,,,,,
ESAR,UGA,Uganda,ROTAC,86.0,84.0,87.0,88.0,87.0,36.0,,,,,,,,,,,,,,,,,,
MENA,ARE,United Arab Emirates,ROTAC,91.0,91.0,91.0,86.0,92.0,99.0,90.0,92.0,87.0,56.0,,,,,,,,,,,,,,
Non-programme,GBR,United Kingdom,ROTAC,90.0,90.0,91.0,91.0,90.0,91.0,90.0,90.0,89.0,,,,,,,,,,,,,,,
ESAR,TZA,United Republic of Tanzania,ROTAC,84.0,74.0,85.0,89.0,88.0,85.0,87.0,89.0,95.0,97.0,85.0,,,,,,,,,,,,,
Non-programme,USA,United States,ROTAC,77.0,77.0,76.0,75.0,74.0,73.0,74.0,73.0,72.0,72.0,73.0,69.0,67.0,59.0,44.0,,,,,,,,,
ECAR,UZB,Uzbekistan,ROTAC,89.0,62.0,52.0,90.0,48.0,84.0,99.0,74.0,95.0,52.0,,,,,,,,,,,,,,
EAPR,VUT,Vanuatu,ROTAC,73.0,53.0,9.0,,,,,,,,,,,,,,,,,,,,,
LACR,VEN,Venezuela (Bolivarian Republic of),ROTAC,0.0,0.0,0.0,0.0,0.0,0.0,18.0,47.0,84.0,76.0,77.0,76.0,66.0,49.0,54.0,50.0,29.0,13.0,,,,,,
MENA,YEM,Yemen,ROTAC,47.0,60.0,57.0,55.0,57.0,51.0,57.0,52.0,47.0,55.0,56.0,23.0,,,,,,,,,,,,
ESAR,ZMB,Zambia,ROTAC,40.0,32.0,87.0,87.0,90.0,91.0,96.0,90.0,82.0,73.0,,,,,,,,,,,,,,
ESAR,ZWE,Zimbabwe,ROTAC,55.0,55.0,86.0,88.0,92.0,90.0,91.0,91.0,87.0,48.0,,,,,,,,,,,,,,
