unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,CHL,Chile,MCV1,94,94,92,91,95,93,93,93,96,97,90,90,91,93.0,93.0,96.0,92.0,91.0,90.0,94.0,96.0,95.0,96.0,97.0
EAPR,CHN,China,MCV1,97,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,97.0,94.0,93.0,86.0,86.0,85.0,85.0,85.0,84.0
LACR,COL,Colombia,MCV1,93,88,86,90,95,95,93,93,94,91,92,94,88,88.0,95.0,92.0,95.0,95.0,94.0,92.0,93.0,93.0,93.0,88.0
ESAR,COM,Comoros,MCV1,70,71,68,75,76,74,75,77,81,80,82,85,79,72.0,79.0,76.0,65.0,66.0,67.0,76.0,67.0,71.0,70.0,70.0
WCAR,COG,Congo,MCV1,65,65,68,68,73,75,70,67,80,80,80,80,83,75.0,63.0,69.0,59.0,61.0,54.0,65.0,50.0,37.0,35.0,34.0
EAPR,COK,Cook Islands,MCV1,84,61,74,87,99,99,98,90,99,98,97,97,89,99.0,78.0,95.0,98.0,99.0,99.0,99.0,99.0,95.0,83.0,76.0
LACR,CRI,Costa Rica,MCV1,93,90,89,95,95,94,96,93,93,95,91,90,83,83.0,81.0,89.0,90.0,90.0,89.0,88.0,89.0,94.0,82.0,82.0
WCAR,CIV,Cote d'Ivoire,MCV1,70,62,65,63,71,74,70,73,67,59,69,74,49,64.0,67.0,63.0,67.0,73.0,84.0,78.0,70.0,71.0,71.0,68.0
ECAR,HRV,Croatia,MCV1,90,90,89,91,93,93,89,90,93,94,94,95,96,96.0,95.0,96.0,96.0,95.0,96.0,96.0,94.0,95.0,94.0,93.0
LACR,CUB,Cuba,MCV1,99,99,99,98,99,99,99,99,99,99,99,99,99,99.0,99.0,98.0,97.0,96.0,98.0,99.0,99.0,98.0,96.0,94.0
Non-programme,CYP,Cyprus,MCV1,82,84,86,86,86,90,90,90,90,86,86,86,87,87.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,86.0,86.0,86.0
Non-programme,CZE,Czechia,MCV1,87,97,97,94,92,96,97,98,99,99,99,98,98,98.0,98.0,97.0,98.0,97.0,97.0,97.0,97.0,98.0,97.0,97.0
EAPR,PRK,Democratic People's Republic of Korea,MCV1,28,67,99,99,98,98,99,99,98,99,99,99,99,99.0,98.0,98.0,99.0,96.0,96.0,95.0,95.0,98.0,92.0,78.0
WCAR,COD,Democratic Republic of the Congo,MCV1,52,56,55,62,65,64,65,63,65,69,68,69,66,66.0,65.0,64.0,64.0,63.0,61.0,57.0,49.0,42.0,35.0,46.0
Non-programme,DNK,Denmark,MCV1,95,95,95,94,96,95,97,94,91,90,89,90,87,85.0,84.0,87.0,89.0,90.0,95.0,96.0,96.0,95.0,94.0,99.0
MENA,DJI,Djibouti,MCV1,76,50,50,62,83,86,81,75,74,71,80,83,84,85.0,84.0,73.0,74.0,67.0,65.0,60.0,66.0,62.0,49.0,50.0
LACR,DMA,Dominica,MCV1,87,87,88,92,92,84,77,96,96,94,93,99,99,99.0,99.0,99.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0
LACR,DOM,Dominican Republic,MCV1,94,91,88,82,96,91,86,85,90,88,83,88,87,85.0,84.0,83.0,82.0,81.0,79.0,81.0,83.0,86.0,88.0,85.0
LACR,ECU,Ecuador,MCV1,74,74,65,81,83,83,81,86,84,85,97,96,94,95.0,97.0,98.0,98.0,97.0,93.0,99.0,99.0,99.0,99.0,99.0
MENA,EGY,Egypt,MCV1,96,96,96,94,95,94,94,95,92,93,96,93,96,96.0,95.0,92.0,97.0,98.0,98.0,97.0,98.0,97.0,97.0,98.0
LACR,SLV,El Salvador,MCV1,99,80,97,84,96,87,89,98,97,96,94,93,89,92.0,91.0,95.0,99.0,98.0,99.0,93.0,90.0,93.0,95.0,97.0
WCAR,GNQ,Equatorial Guinea,MCV1,61,49,50,50,51,52,52,53,50,53,51,49,46,44.0,45.0,45.0,46.0,47.0,47.0,48.0,48.0,49.0,50.0,50.0
ESAR,ERI,Eritrea,MCV1,93,93,93,93,93,93,93,95,97,90,94,98,96,95.0,93.0,91.0,92.0,94.0,95.0,96.0,92.0,83.0,84.0,76.0
Non-programme,EST,Estonia,MCV1,89,89,89,91,88,87,93,93,93,93,94,94,94,95.0,95.0,95.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,93.0
ESAR,SWZ,Eswatini,MCV1,85,83,80,76,81,85,89,89,89,97,96,88,87,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0
ESAR,ETH,Ethiopia,MCV1,61,55,53,59,57,54,58,57,55,54,55,62,68,64.0,59.0,54.0,49.0,44.0,40.0,35.0,35.0,36.0,35.0,36.0
