unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,CAN,Canada,HIB3,90,90,92.0,92.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,90.0,89.0,90.0,91.0,92.0,93.0,95.0,93.0,91.0,88.0,88.0,88.0,88.0
WCAR,CAF,Central African Republic,HIB3,42,42,42.0,42.0,42.0,42.0,42.0,42.0,43.0,45.0,23.0,47.0,47.0,45.0,42.0,,,,,,,,,
WCAR,TCD,Chad,HIB3,67,60,58.0,52.0,50.0,46.0,41.0,41.0,42.0,36.0,39.0,40.0,33.0,39.0,24.0,17.0,,,,,,,,
LACR,CHL,Chile,HIB3,96,96,95.0,93.0,96.0,95.0,93.0,95.0,97.0,95.0,90.0,90.0,94.0,92.0,94.0,95.0,96.0,94.0,91.0,93.0,96.0,97.0,97.0,91.0
LACR,COL,Colombia,HIB3,90,87,86.0,88.0,92.0,92.0,92.0,91.0,91.0,90.0,91.0,92.0,85.0,88.0,92.0,92.0,94.0,93.0,93.0,89.0,93.0,69.0,55.0,65.0
ESAR,COM,Comoros,HIB3,75,78,72.0,74.0,78.0,77.0,79.0,75.0,80.0,80.0,83.0,86.0,83.0,74.0,38.0,,,,,,,,,
WCAR,COG,Congo,HIB3,78,78,77.0,73.0,79.0,75.0,69.0,71.0,80.0,90.0,85.0,64.0,71.0,74.0,72.0,,,,,,,,,
EAPR,COK,Cook Islands,HIB3,69,72,81.0,89.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,93.0,99.0,82.0,,,,,,,,,
LACR,CRI,Costa Rica,HIB3,99,95,92.0,97.0,96.0,94.0,96.0,97.0,92.0,91.0,95.0,90.0,81.0,90.0,87.0,87.0,88.0,88.0,89.0,90.0,88.0,93.0,89.0,92.0
WCAR,CIV,Cote d'Ivoire,HIB3,79,73,73.0,72.0,79.0,83.0,83.0,87.0,79.0,73.0,75.0,82.0,62.0,79.0,81.0,,,,,,,,,
ECAR,HRV,Croatia,HIB3,91,92,92.0,93.0,94.0,94.0,92.0,93.0,94.0,95.0,96.0,96.0,96.0,97.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,79.0,,
LACR,CUB,Cuba,HIB3,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,94.0,99.0,99.0,99.0,99.0,99.0
Non-programme,CYP,Cyprus,HIB3,95,95,95.0,95.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,93.0,93.0,93.0,61.0,61.0,61.0,35.0,35.0,35.0
Non-programme,CZE,Czechia,HIB3,94,94,94.0,96.0,97.0,96.0,94.0,96.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,98.0,97.0,95.0,,
EAPR,PRK,Democratic People's Republic of Korea,HIB3,16,0,41.0,97.0,97.0,97.0,97.0,96.0,96.0,93.0,93.0,32.0,,,,,,,,,,,,
WCAR,COD,Democratic Republic of the Congo,HIB3,60,65,65.0,70.0,73.0,71.0,71.0,70.0,70.0,73.0,71.0,71.0,70.0,60.0,71.0,,,,,,,,,
Non-programme,DNK,Denmark,HIB3,97,97,97.0,97.0,97.0,97.0,98.0,94.0,93.0,94.0,94.0,94.0,91.0,90.0,89.0,88.0,87.0,93.0,93.0,95.0,96.0,96.0,95.0,95.0
MENA,DJI,Djibouti,HIB3,72,59,59.0,70.0,85.0,84.0,76.0,68.0,84.0,78.0,82.0,81.0,87.0,88.0,89.0,89.0,25.0,,,,,,,
