unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,FJI,Fiji,HEPBB,98.0,98.0,99.0,99.0,97.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,95.0,94.0,93.0,89.0,99.0,98.0,99.0,
WCAR,GMB,Gambia,HEPBB,41.0,26.0,25.0,,,,,,,,,,,,,,,,,,,,,
ECAR,GEO,Georgia,HEPBB,92.0,95.0,95.0,97.0,94.0,97.0,94.0,94.0,93.0,95.0,80.0,92.0,93.0,95.0,73.0,99.0,99.0,97.0,93.0,92.0,90.0,80.0,69.0,
LACR,GRD,Grenada,HEPBB,92.0,91.0,90.0,92.0,96.0,95.0,78.0,,,,,,,,,,,,,,,,,
LACR,GTM,Guatemala,HEPBB,48.0,48.0,48.0,48.0,48.0,48.0,53.0,40.0,32.0,21.0,39.0,35.0,31.0,15.0,,,,,,,,,,
LACR,GUY,Guyana,HEPBB,84.0,57.0,58.0,49.0,35.0,,,,,,,,,,,,,,,,,,,
LACR,HND,Honduras,HEPBB,64.0,69.0,72.0,71.0,78.0,82.0,78.0,80.0,80.0,79.0,79.0,78.0,77.0,78.0,72.0,61.0,44.0,,,,,,,
ROSA,IND,India,HEPBB,63.0,63.0,55.0,54.0,56.0,54.0,54.0,47.0,44.0,41.0,37.0,23.0,8.0,8.0,8.0,8.0,,,,,,,,
EAPR,IDN,Indonesia,HEPBB,88.0,85.0,70.0,73.0,84.0,58.0,32.0,,,,,,,,,,,,,,,,,
MENA,IRN,Iran (Islamic Republic of),HEPBB,94.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,96.0,97.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,99.0,99.0,94.0,99.0
MENA,IRQ,Iraq,HEPBB,51.0,50.0,48.0,47.0,51.0,42.0,44.0,45.0,43.0,44.0,43.0,37.0,32.0,27.0,60.0,92.0,90.0,88.0,93.0,92.0,,,,
Non-programme,ISR,Israel,HEPBB,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,97.0,97.0,97.0,98.0,97.0,98.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
ECAR,KAZ,Kazakhstan,HEPBB,91.0,93.0,92.0,93.0,93.0,95.0,90.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,95.0,96.0,97.0,98.0,99.0,99.0,99.0,95.0,98.0
EAPR,KIR,Kiribati,HEPBB,96.0,94.0,95.0,91.0,99.0,95.0,89.0,79.0,75.0,66.0,84.0,82.0,66.0,63.0,52.0,59.0,58.0,68.0,70.0,72.0,74.0,76.0,78.0,80.0
MENA,KWT,Kuwait,HEPBB,99.0,99.0,98.0,96.0,95.0,93.0,99.0,92.0,99.0,96.0,98.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,95.0,94.0
ECAR,KGZ,Kyrgyzstan,HEPBB,96.0,96.0,96.0,95.0,96.0,97.0,97.0,96.0,97.0,99.0,96.0,94.0,73.0,99.0,98.0,98.0,98.0,97.0,98.0,99.0,99.0,99.0,93.0,45.0
EAPR,LAO,Lao People's Democratic Republic,HEPBB,70.0,65.0,64.0,58.0,58.0,56.0,55.0,,,,,,,,,,,,,,,,,
Non-programme,LVA,Latvia,HEPBB,,,,,,,,,,,,,,,97.0,98.0,97.0,97.0,98.0,99.0,98.0,99.0,99.0,98.0
MENA,LBN,Lebanon,HEPBB,80.0,80.0,80.0,77.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,83.0,86.0,88.0,91.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,90.0,90.0
