unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,CHL,Chile,DTP3,96,96,95,93,96,95,93,95,96,95,91,90,94,92.0,94.0,95.0,96.0,94.0,91.0,93.0,96.0,97.0,97.0,91.0
EAPR,CHN,China,DTP3,97,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,97.0,93.0,93.0,87.0,87.0,86.0,86.0,86.0,85.0
LACR,COL,Colombia,DTP3,90,87,86,88,94,92,92,91,91,90,91,91,85,88.0,92.0,92.0,94.0,93.0,93.0,89.0,92.0,81.0,80.0,79.0
ESAR,COM,Comoros,DTP3,75,78,72,74,78,77,79,75,80,80,83,86,83,74.0,83.0,81.0,75.0,69.0,68.0,76.0,80.0,89.0,70.0,70.0
WCAR,COG,Congo,DTP3,78,78,77,73,79,75,69,71,80,90,85,85,82,74.0,78.0,79.0,72.0,73.0,62.0,67.0,50.0,41.0,31.0,33.0
EAPR,COK,Cook Islands,DTP3,86,72,81,89,98,99,99,99,99,99,98,98,93,99.0,82.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,90.0,92.0
LACR,CRI,Costa Rica,DTP3,99,95,93,97,95,94,96,97,92,91,95,91,85,88.0,86.0,90.0,89.0,89.0,91.0,90.0,88.0,94.0,91.0,88.0
WCAR,CIV,Cote d'Ivoire,DTP3,79,73,73,72,79,83,83,87,79,73,75,82,61,78.0,81.0,74.0,76.0,77.0,76.0,67.0,61.0,64.0,66.0,65.0
ECAR,HRV,Croatia,DTP3,93,92,92,94,94,93,92,93,94,95,96,96,96,97.0,96.0,96.0,96.0,96.0,96.0,96.0,94.0,95.0,94.0,93.0
LACR,CUB,Cuba,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,97,96.0,96.0,95.0,93.0,89.0,89.0,88.0,72.0,99.0,98.0,95.0
Non-programme,CYP,Cyprus,DTP3,95,95,95,95,95,99,97,96,96,98,98,98,98,99.0,99.0,97.0,97.0,97.0,98.0,98.0,97.0,97.0,97.0,97.0
Non-programme,CZE,Czechia,DTP3,94,94,94,97,97,97,96,96,97,97,98,99,99,99.0,99.0,99.0,99.0,98.0,97.0,98.0,97.0,98.0,98.0,98.0
EAPR,PRK,Democratic People's Republic of Korea,DTP3,16,0,41,97,97,97,97,96,96,93,93,96,94,93.0,93.0,92.0,92.0,89.0,79.0,72.0,68.0,64.0,62.0,56.0
WCAR,COD,Democratic Republic of the Congo,DTP3,60,65,65,70,73,71,71,70,70,73,71,71,70,60.0,71.0,68.0,65.0,62.0,60.0,54.0,41.0,38.0,30.0,40.0
Non-programme,DNK,Denmark,DTP3,97,97,97,97,97,97,98,94,93,94,94,94,91,90.0,89.0,88.0,87.0,93.0,93.0,95.0,96.0,98.0,97.0,97.0
MENA,DJI,Djibouti,DTP3,72,59,59,70,85,84,76,68,84,78,82,81,87,88.0,89.0,89.0,88.0,72.0,71.0,64.0,68.0,62.0,53.0,46.0
LACR,DMA,Dominica,DTP3,56,82,92,96,99,94,91,99,98,97,96,97,98,98.0,99.0,96.0,96.0,95.0,98.0,99.0,99.0,98.0,99.0,99.0
