unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ESAR,ERI,Eritrea,PCV3,95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,,,,,,,,,,,,,,,
ESAR,SWZ,Eswatini,PCV3,66,96.0,63.0,83.0,87.0,88.0,87.0,90.0,90.0,67.0,,,,,,,,,,,,,,
ESAR,ETH,Ethiopia,PCV3,69,62.0,62.0,68.0,65.0,64.0,65.0,62.0,58.0,55.0,48.0,30.0,12.0,,,,,,,,,,,
EAPR,FJI,Fiji,PCV3,99,99.0,99.0,98.0,96.0,94.0,90.0,93.0,99.0,99.0,87.0,,,,,,,,,,,,,
Non-programme,FIN,Finland,PCV3,87,87.0,82.0,86.0,89.0,88.0,85.0,87.0,92.0,92.0,92.0,92.0,92.0,92.0,,,,,,,,,,
Non-programme,FRA,France,PCV3,96,96.0,95.0,95.0,92.0,92.0,92.0,92.0,91.0,89.0,89.0,89.0,89.0,89.0,,,,,,,,,,
WCAR,GMB,Gambia,PCV3,80,75.0,78.0,83.0,87.0,93.0,90.0,95.0,97.0,96.0,96.0,98.0,95.0,99.0,,,,,,,,,,
ECAR,GEO,Georgia,PCV3,86,79.0,82.0,82.0,84.0,81.0,80.0,75.0,16.0,,,,,,,,,,,,,,,
Non-programme,DEU,Germany,PCV3,82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,82.0,84.0,84.0,86.0,85.0,84.0,68.0,,,,,,,,
WCAR,GHA,Ghana,PCV3,96,99.0,98.0,95.0,97.0,96.0,99.0,93.0,88.0,99.0,89.0,43.0,,,,,,,,,,,,
ECAR,GRC,Greece,PCV3,96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,32.0,32.0,,,,,,,,,,,,
LACR,GTM,Guatemala,PCV3,87,84.0,79.0,87.0,88.0,90.0,93.0,90.0,80.0,62.0,72.0,,,,,,,,,,,,,
WCAR,GNB,Guinea-Bissau,PCV3,74,74.0,67.0,74.0,78.0,82.0,79.0,83.0,10.0,,,,,,,,,,,,,,,
LACR,GUY,Guyana,PCV3,95,95.0,99.0,89.0,98.0,91.0,97.0,92.0,94.0,97.0,96.0,90.0,50.0,,,,,,,,,,,
LACR,HTI,Haiti,PCV3,51,51.0,51.0,51.0,42.0,12.0,,,,,,,,,,,,,,,,,,
LACR,HND,Honduras,PCV3,73,78.0,77.0,80.0,88.0,91.0,90.0,94.0,99.0,99.0,99.0,97.0,78.0,,,,,,,,,,,
Non-programme,HUN,Hungary,PCV3,99,99.0,99.0,99.0,99.0,99.0,99.0,98.0,94.0,93.0,92.0,90.0,84.0,,,,,,,,,,,
Non-programme,ISL,Iceland,PCV3,92,84.0,92.0,93.0,92.0,90.0,88.0,90.0,91.0,90.0,88.0,86.0,,,,,,,,,,,,
ROSA,IND,India,PCV3,83,66.0,25.0,21.0,15.0,6.0,,,,,,,,,,,,,,,,,,
EAPR,IDN,Indonesia,PCV3,31,6.0,1.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,,,
MENA,IRQ,Iraq,PCV3,14,0.0,0.0,0.0,37.0,33.0,33.0,,,,,,,,,,,,,,,,,
Non-programme,IRL,Ireland,PCV3,83,84.0,85.0,86.0,86.0,90.0,91.0,91.0,92.0,92.0,91.0,91.0,90.0,43.0,,,,,,,,,,
Non-programme,ISR,Israel,PCV3,94,94.0,95.0,94.0,95.0,95.0,94.0,93.0,94.0,94.0,94.0,93.0,92.0,,,,,,,,,,,
Non-programme,ITA,Italy,PCV3,92,92.0,91.0,91.0,92.0,92.0,91.0,88.0,89.0,87.0,87.0,82.0,76.0,71.0,66.0,60.0,,,,,,,,
Non-programme,JPN,Japan,PCV3,97,97.0,96.0,95.0,97.0,98.0,99.0,99.0,96.0,98.0,98.0,98.0,98.0,,,,,,,,,,,
ECAR,KAZ,Kazakhstan,PCV3,98,98.0,93.0,89.0,89.0,95.0,98.0,97.0,74.0,58.0,52.0,37.0,,,,,,,,,,,,
ESAR,KEN,Kenya,PCV3,91,93.0,94.0,92.0,93.0,89.0,78.0,83.0,80.0,84.0,77.0,82.0,85.0,,,,,,,,,,,
EAPR,KIR,Kiribati,PCV3,91,91.0,90.0,91.0,97.0,94.0,91.0,79.0,74.0,57.0,40.0,,,,,,,,,,,,,
MENA,KWT,Kuwait,PCV3,99,99.0,96.0,94.0,93.0,91.0,99.0,99.0,99.0,94.0,99.0,99.0,99.0,98.0,99.0,99.0,,,,,,,,
ECAR,KGZ,Kyrgyzstan,PCV3,91,92.0,90.0,90.0,96.0,92.0,88.0,,,,,,,,,,,,,,,,,
EAPR,LAO,Lao People's Democratic Republic,PCV3,81,78.0,74.0,77.0,81.0,84.0,82.0,78.0,74.0,60.0,,,,,,,,,,,,,,
Non-programme,LVA,Latvia,PCV3,95,87.0,92.0,91.0,84.0,84.0,87.0,84.0,85.0,84.0,87.0,55.0,76.0,,,,,,,,,,,
MENA,LBN,Lebanon,PCV3,65,70.0,70.0,74.0,82.0,82.0,82.0,,,,,,,,,,,,,,,,,
ESAR,LSO,Lesotho,PCV3,87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,29.0,,,,,,,,,,,,,,,
WCAR,LBR,Liberia,PCV3,80,74.0,65.0,65.0,68.0,78.0,78.0,73.0,36.0,25.0,,,,,,,,,,,,,,
MENA,LBY,Libya,PCV3,73,73.0,73.0,73.0,73.0,72.0,94.0,96.0,71.0,39.0,,,,,,,,,,,,,,
Non-programme,LTU,Lithuania,PCV3,82,81.0,82.0,83.0,82.0,82.0,82.0,82.0,,,,,,,,,,,,,,,,
Non-programme,LUX,Luxembourg,PCV3,96,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,86.0,86.0,86.0,86.0,,,,,,,,
ESAR,MDG,Madagascar,PCV3,73,57.0,57.0,67.0,69.0,73.0,62.0,65.0,62.0,68.0,76.0,,,,,,,,,,,,,
ESAR,MWI,Malawi,PCV3,91,87.0,93.0,93.0,95.0,92.0,88.0,83.0,88.0,87.0,89.0,99.0,,,,,,,,,,,,
EAPR,MYS,Malaysia,PCV3,95,86.0,76.0,,,,,,,,,,,,,,,,,,,,,
WCAR,MLI,Mali,PCV3,77,77.0,77.0,66.0,74.0,73.0,74.0,74.0,65.0,57.0,59.0,58.0,56.0,,,,,,,,,,,
Non-programme,MLT,Malta,PCV3,97,99.0,99.0,,,,,,,,,,,,,,,,,,,,,
EAPR,MHL,Marshall Islands,PCV3,62,29.0,61.0,38.0,63.0,67.0,72.0,65.0,75.0,29.0,38.0,46.0,35.0,24.0,49.0,,,,,,,,,
WCAR,MRT,Mauritania,PCV3,90,85.0,77.0,82.0,76.0,72.0,72.0,71.0,71.0,71.0,1.0,,,,,,,,,,,,,
Non-programme,MUS,Mauritius,PCV3,91,97.0,94.0,86.0,97.0,96.0,84.0,10.0,,,,,,,,,,,,,,,,
LACR,MEX,Mexico,PCV3,78,84.0,83.0,77.0,86.0,88.0,92.0,92.0,93.0,94.0,84.0,99.0,98.0,92.0,46.0,14.0,,,,,,,,
EAPR,FSM,Micronesia (Federated States of),PCV3,73,65.0,70.0,79.0,73.0,67.0,65.0,63.0,67.0,64.0,61.0,60.0,63.0,70.0,,,,,,,,,,
EAPR,MNG,Mongolia,PCV3,96,94.0,95.0,92.0,49.0,26.0,13.0,,,,,,,,,,,,,,,,,
MENA,MAR,Morocco,PCV3,98,98.0,98.0,98.0,98.0,99.0,99.0,98.0,95.0,90.0,80.0,72.0,23.0,1.0,,,,,,,,,,
ESAR,MOZ,Mozambique,PCV3,55,55.0,56.0,68.0,80.0,80.0,80.0,80.0,80.0,76.0,45.0,,,,,,,,,,,,,
EAPR,MMR,Myanmar,PCV3,78,57.0,40.0,86.0,90.0,91.0,89.0,14.0,,,,,,,,,,,,,,,,
ESAR,NAM,Namibia,PCV3,83,85.0,79.0,78.0,57.0,61.0,67.0,84.0,81.0,,,,,,,,,,,,,,,
EAPR,NRU,Nauru,PCV3,97,97.0,59.0,,,,,,,,,,,,,,,,,,,,,
ROSA,NPL,Nepal,PCV3,88,83.0,84.0,80.0,83.0,82.0,80.0,46.0,5.0,,,,,,,,,,,,,,,
Non-programme,NLD,Netherlands (Kingdom of the),PCV3,88,90.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,95.0,96.0,96.0,96.0,96.0,96.0,,,,,,,,,
Non-programme,NZL,New Zealand,PCV3,86,86.0,95.0,92.0,91.0,96.0,94.0,93.0,93.0,93.0,93.0,92.0,92.0,89.0,87.0,,,,,,,,,
LACR,NIC,Nicaragua,PCV3,90,92.0,87.0,92.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,61.0,,,,,,,,,,,
WCAR,NER,Niger,PCV3,85,84.0,82.0,81.0,81.0,79.0,85.0,76.0,49.0,13.0,,,,,,,,,,,,,,
WCAR,NGA,Nigeria,PCV3,60,60.0,60.0,60.0,64.0,59.0,53.0,49.0,36.0,,,,,,,,,,,,,,,
EAPR,NIU,Niue,PCV3,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,,,,,
ECAR,MKD,North Macedonia,PCV3,56,56.0,53.0,30.0,,,,,,,,,,,,,,,,,,,,
Non-programme,NOR,Norway,PCV3,95,95.0,96.0,96.0,95.0,94.0,94.0,94.0,93.0,91.0,93.0,93.0,92.0,91.0,91.0,86.0,,,,,,,,
MENA,OMN,Oman,PCV3,99,97.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,96.0,,,,,,,,,
ROSA,PAK,Pakistan,PCV3,86,85.0,83.0,82.0,83.0,82.0,82.0,78.0,80.0,68.0,65.0,,,,,,,,,,,,,
EAPR,PLW,Palau,PCV3,93,82.0,77.0,75.0,74.0,82.0,89.0,98.0,95.0,93.0,93.0,82.0,61.0,45.0,18.0,7.0,,,,,,,,
LACR,PAN,Panama,PCV3,69,84.0,87.0,74.0,96.0,97.0,97.0,94.0,92.0,91.0,88.0,76.0,63.0,48.0,,,,,,,,,,
EAPR,PNG,Papua New Guinea,PCV3,29,38.0,34.0,41.0,35.0,35.0,36.0,20.0,20.0,,,,,,,,,,,,,,,
LACR,PRY,Paraguay,PCV3,77,74.0,62.0,82.0,89.0,94.0,93.0,99.0,90.0,86.0,90.0,82.0,,,,,,,,,,,,
LACR,PER,Peru,PCV3,80,71.0,75.0,74.0,80.0,82.0,84.0,86.0,90.0,86.0,85.0,89.0,82.0,73.0,9.0,,,,,,,,,
EAPR,PHL,Philippines,PCV3,85,81.0,61.0,76.0,61.0,49.0,38.0,40.0,20.0,35.0,,,,,,,,,,,,,,
Non-programme,POL,Poland,PCV3,88,88.0,88.0,88.0,89.0,60.0,,,,,,,,,,,,,,,,,,
