unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,IPV1,59,61,56,56,63,66.0,61.0,65.0,,,,,,,,,,,,,,,,
ECAR,ALB,Albania,IPV1,98,98,98,99,99,99.0,99.0,98.0,99.0,,,,,,,,,,,,,,,
MENA,DZA,Algeria,IPV1,92,89,90,92,93,94.0,92.0,94.0,8.0,,,,,,,,,,,,,,,
Non-programme,AND,Andorra,IPV1,99,99,99,99,99,99.0,99.0,99.0,99.0,,,,,,,,,,,,,,,
ESAR,AGO,Angola,IPV1,44,38,37,43,43,40.0,,,,,,,,,,,,,,,,,,
LACR,ATG,Antigua and Barbuda,IPV1,98,97,93,95,98,99.0,95.0,86.0,21.0,,,,,,,,,,,,,,,
LACR,ARG,Argentina,IPV1,78,90,86,80,85,90.0,91.0,56.0,,,,,,,,,,,,,,,,
ECAR,ARM,Armenia,IPV1,96,96,96,79,92,93.0,92.0,34.0,,,,,,,,,,,,,,,,
Non-programme,AUS,Australia,IPV1,98,98,98,98,98,98.0,98.0,98.0,97.0,,,,,,,,,,,,,,,
Non-programme,AUT,Austria,IPV1,92,91,96,95,93,90.0,94.0,95.0,,,,,,,,,,,,,,,,
ECAR,AZE,Azerbaijan,IPV1,89,90,91,80,95,95.0,96.0,88.0,,,,,,,,,,,,,,,,
LACR,BHS,Bahamas,IPV1,99,98,91,97,91,94.0,98.0,95.0,31.0,,,,,,,,,,,,,,,
MENA,BHR,Bahrain,IPV1,99,97,99,99,99,99.0,98.0,99.0,98.0,,,,,,,,,,,,,,,
ROSA,BGD,Bangladesh,IPV1,98,97,96,96,92,75.0,37.0,37.0,51.0,,,,,,,,,,,,,,,
LACR,BRB,Barbados,IPV1,91,87,83,86,94,95.0,89.0,99.0,,,,,,,,,,,,,,,,
