unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,KHM,Cambodia,HEPB3,85,85,87,87.0,88.0,89.0,90.0,91.0,91.0,90.0,86.0,91.0,91.0,91.0,92.0,91.0,82.0,80.0,,,,,,
WCAR,CMR,Cameroon,HEPB3,75,71,71,68.0,67.0,68.0,74.0,78.0,76.0,76.0,76.0,85.0,82.0,84.0,80.0,84.0,82.0,81.0,79.0,,,,,
Non-programme,CAN,Canada,HEPB3,83,83,84,84.0,84.0,71.0,71.0,70.0,69.0,55.0,55.0,70.0,70.0,56.0,42.0,28.0,14.0,14.0,14.0,14.0,14.0,,,
WCAR,CAF,Central African Republic,HEPB3,42,42,42,42.0,42.0,42.0,42.0,42.0,43.0,45.0,23.0,47.0,47.0,45.0,42.0,,,,,,,,,
WCAR,TCD,Chad,HEPB3,67,60,58,52.0,50.0,46.0,41.0,41.0,42.0,36.0,39.0,40.0,33.0,39.0,24.0,17.0,,,,,,,,
LACR,CHL,Chile,HEPB3,96,96,95,93.0,96.0,95.0,93.0,95.0,97.0,95.0,90.0,90.0,94.0,92.0,94.0,95.0,92.0,95.0,,,,,,
EAPR,CHN,China,HEPB3,97,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,92.0,91.0,84.0,79.0,75.0,70.0,65.0,60.0
LACR,COL,Colombia,HEPB3,90,87,86,88.0,92.0,92.0,92.0,91.0,91.0,90.0,91.0,92.0,85.0,88.0,92.0,92.0,94.0,93.0,93.0,89.0,92.0,78.0,80.0,78.0
ESAR,COM,Comoros,HEPB3,75,78,72,74.0,78.0,77.0,79.0,75.0,80.0,80.0,83.0,86.0,83.0,74.0,83.0,81.0,75.0,69.0,68.0,77.0,28.0,,,
WCAR,COG,Congo,HEPB3,78,78,77,73.0,79.0,75.0,69.0,71.0,80.0,90.0,85.0,62.0,70.0,74.0,75.0,73.0,64.0,,,,,,,
EAPR,COK,Cook Islands,HEPB3,69,72,81,89.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,93.0,99.0,82.0,99.0,99.0,99.0,99.0,99.0,93.0,93.0,93.0,98.0
LACR,CRI,Costa Rica,HEPB3,98,94,87,91.0,94.0,98.0,97.0,97.0,92.0,91.0,94.0,91.0,84.0,89.0,87.0,89.0,89.0,88.0,90.0,89.0,86.0,94.0,80.0,89.0
WCAR,CIV,Cote d'Ivoire,HEPB3,79,73,73,72.0,79.0,83.0,83.0,87.0,79.0,73.0,75.0,82.0,62.0,79.0,81.0,74.0,76.0,77.0,76.0,67.0,63.0,48.0,10.0,
ECAR,HRV,Croatia,HEPB3,92,90,90,91.0,93.0,93.0,92.0,92.0,94.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,94.0,,,,,,,
LACR,CUB,Cuba,HEPB3,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,97.0,96.0,96.0,96.0,96.0,96.0,95.0,93.0,89.0,95.0,99.0,99.0,98.0,98.0,98.0
Non-programme,CYP,Cyprus,HEPB3,95,95,94,95.0,95.0,98.0,97.0,98.0,98.0,97.0,96.0,97.0,97.0,97.0,96.0,93.0,94.0,93.0,88.0,88.0,89.0,88.0,89.0,89.0
